"Scopus Source Identifier","Journal","2016 Cite Score","Number of Cases (Model 1)","Odds Ratio (Model 1)","95% CI Lower Bound (Model 1)","95% CI Upper Bound (Model 1)","P-Value (Model 1)","Number of Cases (Model 2)","Odds Ratio (Model 2)","95% CI Lower Bound (Model 2)","95% CI Upper Bound (Model 2)","P-Value (Model 2)","Number of ICCs (2013)","Number of ICCs (2014)","Number of ICCs (2015)","Number of ICCs (2016)","Number of ICCs (2017)","Journal Topics"
"17408","Multiple Sclerosis",3.04,46,"0.95","0.48","1.85","0.872",46,"0.95","0.48","1.85","0.502",6,8,22,13,49,"Clinical Neurology"
"15771","Muscle and Nerve",2.09,14,"0.15","0.02","1.31","0.086",14,"0.15","0.02","1.31","0.057",2,3,1,1,11,"Clinical Neurology; Physiology (medical)"
"15774","Mycoses",2.31,2,"0.50","0.02","14.02","0.684",2,"0.50","0.02","14.02","0.998",0,2,1,0,0,"Dermatology; Infectious Diseases"
"21206","Nature",13.33,173,"0.80","0.53","1.21","0.289",173,"0.80","0.53","1.21","0.795",30,29,63,62,3,"General"
"12464","Nature Reviews Cancer",15.79,6,"5.72","0.50","66.01","0.162",6,"5.72","0.50","66.01","0.193",0,1,2,3,1,"Oncology"
"17700156509","Nature Reviews Cardiology",3.3,17,"1.02","0.27","3.93","0.975",17,"1.02","0.27","3.93","0.726",2,3,7,2,4,"Cardiology and Cardiovascular Medicine"
"17700156734","Nature Reviews Clinical Oncology",5.11,14,"0.52","0.11","2.49","0.416",14,"0.52","0.11","2.49","0.766",3,4,2,4,4,"Oncology"
"17700156440","Nature Reviews Endocrinology",4.66,6,"0.33","0.03","3.80","0.376",6,"0.33","0.03","3.80","0.539",2,3,1,0,2,"Endocrinology, Diabetes, and Metabolism"
"17700156202","Nature Reviews Nephrology",2.76,8,"1.65","0.36","7.63","0.522",8,"1.65","0.36","7.63","0.875",1,4,1,1,2,"Nephrology"
"17700156408","Nature Reviews Neurology",6.05,7,"0.29","0.03","2.79","0.281",7,"0.29","0.03","2.79","0.316",3,2,2,0,0,"Clinical Neurology"
"18300156731","Nature Reviews Urology",1.64,3,"1.87","0.10","34.31","0.673",3,"1.87","0.10","34.31","0.999",0,2,0,1,0,"Urology"
"17800156710","Nature reviews. Rheumatology",4.33,9,"0.41","0.05","3.65","0.422",9,"0.41","0.05","3.65","0.513",0,1,3,2,3,"Rheumatology"
"5200152603","Neonatology",2.47,7,"1.57","0.30","8.25","0.596",7,"1.57","0.30","8.25","0.114",3,1,3,2,0,"Pediatrics, Perinatology, and Child Health"
"20021","Nephrology Dialysis Transplantation",3.67,90,"0.50","0.26","0.95","0.034",90,"0.50","0.26","0.95","0.330",29,30,21,34,11,"Nephrology; Transplantation"
"22520","Netherlands Heart Journal",0.95,49,"2.18","0.98","4.83","0.055",49,"2.18","0.98","4.83","0.032",14,14,29,11,15,"Cardiology and Cardiovascular Medicine"
"15600154706","Netherlands Journal of Critical Care",0.1,5,"1.20","0.12","11.53","0.877",5,"1.20","0.12","11.53","0.943",2,0,2,0,2,"Critical Care and Intensive Care Medicine"
"26691","Netherlands Journal of Medicine",0.84,22,"0.74","0.25","2.20","0.591",22,"0.74","0.25","2.20","0.624",7,6,4,8,5,"Internal Medicine"
"12499","Neuro-Oncology",5.64,49,"0.36","0.15","0.87","0.023",49,"0.36","0.15","0.87","0.024",4,8,15,10,21,"Clinical Neurology; Oncology"
"23985","Neurobiology of Aging",4.63,4,"1.52","0.19","11.98","0.690",4,"1.52","0.19","11.98","0.996",1,1,2,0,0,"Clinical Neurology; Geriatrics and Gerontology"
"26649","Neuroendocrinology",2.91,16,"1.46","0.39","5.49","0.572",16,"1.46","0.39","5.49","0.509",0,1,2,15,0,"Endocrinology, Diabetes, and Metabolism"
"17494","Neuroepidemiology",3.12,13,"0.75","0.19","2.94","0.680",13,"0.75","0.19","2.94","0.590",9,1,3,3,2,"Clinical Neurology; Epidemiology"
"14300154705","Neuroethics",1.58,11,"0.15","0.02","1.24","0.078",11,"0.15","0.02","1.24","0.060",2,0,2,2,20,"Health Policy; Psychiatry and Mental Health"
"25337","Neurogastroenterology and Motility",3.74,41,"0.55","0.24","1.28","0.167",41,"0.55","0.24","1.28","0.696",11,8,7,10,12,"Gastroenterology"
"18992","Neurogenetics",2.94,3,"3.48","0.25","48.95","0.355",3,"3.48","0.25","48.95","1.000",1,2,0,0,0,"Genetics (clinical)"
"17526","Neurologic Clinics",2.57,5,"1.09","0.12","10.11","0.937",5,"1.09","0.12","10.11","0.841",0,1,5,0,0,"Clinical Neurology"
"17952","Neurology",3.81,411,"0.62","0.48","0.79","0.000",411,"0.62","0.48","0.79","0.003",100,123,134,110,100,"Clinical Neurology"
"17969","Neurology India",0.55,38,"1.25","0.45","3.46","0.668",38,"1.25","0.45","3.46","0.461",0,2,7,8,31,"Clinical Neurology"
"21100236604","Neurology: Clinical Practice",0.51,15,"0.43","0.09","2.04","0.291",15,"0.43","0.09","2.04","0.627",2,3,5,6,2,"Clinical Neurology"
"17990","Neuropathology and Applied Neurobiology",3.79,4,"0.66","0.06","6.95","0.731",4,"0.66","0.06","6.95","0.875",1,0,2,1,0,"Clinical Neurology; Histology; Pathology and Forensic Medicine; Physiology (medical)"
"15599","Neuropediatrics",1.31,12,"1.30","0.32","5.32","0.716",12,"1.30","0.32","5.32","0.636",2,2,4,3,3,"Clinical Neurology; Pediatrics, Perinatology, and Child Health"
"18011","Neuropsychological Rehabilitation",1.82,4,"1.70","0.12","23.51","0.694",4,"1.70","0.12","23.51","0.354",0,3,0,1,1,"Rehabilitation"
"18017","Neuropsychopharmacology",5.8,21,"0.76","0.28","2.08","0.593",21,"0.76","0.28","2.08","0.206",6,5,6,2,6,"Psychiatry and Mental Health"
"17309","Neuroradiology",2.35,5,"1.70","0.16","18.01","0.660",5,"1.70","0.16","18.01","0.587",3,0,2,0,1,"Cardiology and Cardiovascular Medicine; Clinical Neurology; Radiology Nuclear Medicine and Imaging"
"18069","Neurosurgery",1.38,22,"2.70","0.85","8.63","0.093",22,"2.70","0.85","8.63","0.093",4,1,5,13,2,"Clinical Neurology; Surgery"
"20041","Neurourology and Urodynamics",2.08,6,"0.88","0.08","9.89","0.915",6,"0.88","0.08","9.89","0.487",1,1,1,2,1,"Clinical Neurology; Urology"
"15847","New England Journal of Medicine",12.82,282,"0.73","0.53","0.99","0.045",282,"0.73","0.53","0.99","0.696",71,62,55,61,61,"Medicine (all)"
"4900152609","New Solutions: A Journal of Environmental and Occupational Health Policy",0.84,4,"1.55","0.21","11.36","0.664",4,"1.55","0.21","11.36","0.998",0,0,4,1,1,"Medicine (all)"
"15876","New Zealand Medical Journal",0.41,44,"0.69","0.31","1.54","0.364",44,"0.69","0.31","1.54","0.229",12,16,14,9,11,"Medicine (all)"
"17058","Nicotine and Tobacco Research",3.57,35,"0.62","0.31","1.27","0.190",35,"0.62","0.31","1.27","0.383",6,7,6,11,13,"Public, Environmental, and Occupational Health"
"17304","NMR in Biomedicine",3.18,8,"2.58","0.51","13.05","0.251",8,"2.58","0.51","13.05","0.208",4,0,0,0,4,"Radiology Nuclear Medicine and Imaging"
"3200147836","Norsk Epidemiologi",0.6,5,"1.65","0.15","18.35","0.683",5,"1.65","0.15","18.35","0.999",7,2,0,0,0,"Epidemiology"
"19700200725","North American Journal of Medical Sciences",1.56,11,"0.33","0.07","1.65","0.176",11,"0.33","0.07","1.65","0.121",8,2,0,1,0,"Medicine (all)"
"13307","Nutrition",3.12,13,"0.70","0.19","2.54","0.582",13,"0.70","0.19","2.54","0.565",6,3,5,1,0,"Endocrinology, Diabetes, and Metabolism"
"15300154824","Nutrition and Metabolism",2.86,3,"2.89","0.10","80.18","0.532",3,"2.89","0.10","80.18","0.350",1,1,0,1,1,"Endocrinology, Diabetes, and Metabolism; Medicine (miscellaneous)"
"13323","Nutrition in Clinical Practice",2.06,4,"4.61","0.34","62.30","0.250",4,"4.61","0.34","62.30","1.000",0,1,0,2,1,"Medicine (miscellaneous)"
"12653","Nutrition Journal",3.64,7,"0.53","0.08","3.27","0.491",7,"0.53","0.08","3.27","0.449",3,0,2,3,0,"Medicine (miscellaneous)"
"13345","Nutrition Reviews",5.93,4,"1.02","0.14","7.70","0.984",4,"1.02","0.14","7.70","0.357",2,3,0,0,0,"Medicine (miscellaneous)"
"4700152825","Obesity",3.57,60,"0.81","0.45","1.45","0.471",60,"0.81","0.45","1.45","0.567",2,2,10,28,26,"Endocrinology, Diabetes, and Metabolism; Medicine (miscellaneous)"
"13363","Obesity Reviews",8.01,20,"0.71","0.26","1.94","0.507",20,"0.71","0.26","1.94","0.858",12,13,3,1,1,"Endocrinology, Diabetes, and Metabolism; Public, Environmental, and Occupational Health"
"28089","Obstetrics and Gynecology",3.41,50,"0.51","0.27","0.96","0.037",50,"0.51","0.27","0.96","0.363",15,12,13,14,11,"Obstetrics and Gynecology"
"29756","Occupational and Environmental Medicine",2.62,57,"0.71","0.40","1.26","0.242",57,"0.71","0.40","1.26","0.698",8,15,15,13,16,"Public, Environmental, and Occupational Health"
"14579","Ocular Immunology and Inflammation",1.22,10,"0.76","0.12","4.75","0.766",10,"0.76","0.12","4.75","0.868",0,7,5,7,14,"Immunology and Allergy; Ophthalmology"
"130050","Ocular Surface",2.99,14,"0.62","0.16","2.47","0.499",14,"0.62","0.16","2.47","0.367",0,0,0,2,12,"Ophthalmology"
"21100211728","Oman Journal of Ophthalmology",0.63,2,"2.16","0.13","34.61","0.586",2,"2.16","0.13","34.61","0.999",0,2,0,0,0,"Ophthalmology"
"12531","Oncologist",3.79,26,"0.80","0.30","2.09","0.644",26,"0.80","0.30","2.09","0.508",9,6,8,7,7,"Oncology"
"12552","Oncology",0.59,58,"0.83","0.42","1.63","0.579",58,"0.83","0.42","1.63","0.571",12,21,22,10,1,"Oncology"
"21100316070","Oncology Research and Treatment",1.12,11,"0.49","0.10","2.41","0.381",11,"0.49","0.10","2.41","0.698",0,1,2,5,3,"Hematology; Oncology"
"19900191708","Oncotarget",4.73,23,"0.69","0.20","2.30","0.541",23,"0.69","0.20","2.30","0.990",1,2,4,3,15,"Oncology"
"14604","Ophthalmic and Physiological Optics",1.92,11,"1.72","0.30","9.89","0.541",11,"1.72","0.30","9.89","0.845",5,5,1,2,2,"Ophthalmology"
"14606","Ophthalmic Epidemiology",1.63,11,"1.12","0.30","4.14","0.862",11,"1.12","0.30","4.14","0.859",3,4,6,2,0,"Epidemiology; Ophthalmology"
"14609","Ophthalmic Plastic and Reconstructive Surgery",0.84,19,"0.84","0.26","2.72","0.767",19,"0.84","0.26","2.72","0.875",6,5,5,3,6,"Ophthalmology; Surgery"
"14635","Ophthalmologica",1.65,5,"0.93","0.10","8.81","0.950",5,"0.93","0.10","8.81","0.711",0,0,0,7,0,"Ophthalmology"
"14639","Ophthalmology",5.17,35,"0.20","0.06","0.68","0.010",35,"0.20","0.06","0.68","0.030",9,6,13,11,6,"Ophthalmology"
"14654","Optometry and Vision Science",1.47,5,"2.16","0.32","14.46","0.426",5,"2.16","0.32","14.46","0.228",0,2,3,3,0,"Ophthalmology"
"12628","Oral Oncology",3.81,3,"6.65","0.51","86.52","0.148",3,"6.65","0.51","86.52","0.281",1,2,0,0,0,"Oncology"
"21100204102","Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",1.41,4,"0.31","0.03","3.82","0.362",4,"0.31","0.03","3.82","0.999",1,0,3,1,0,"Pathology and Forensic Medicine; Radiology Nuclear Medicine and Imaging; Surgery"
"5700191213","Orphanet Journal of Rare Diseases",3.31,25,"0.84","0.34","2.11","0.715",25,"0.84","0.34","2.11","0.618",10,2,3,7,7,"Genetics (clinical); Pharmacology (medical)"
"17500155019","Orthopaedics and Traumatology: Surgery and Research",1.75,4,"4.89","0.41","58.45","0.210",4,"4.89","0.41","58.45","1.000",0,0,0,1,3,"Orthopedics and Sports Medicine; Surgery"
"19732","Osteoarthritis and Cartilage",4.62,13,"1.98","0.62","6.31","0.247",13,"1.98","0.62","6.31","0.350",3,1,6,0,4,"Orthopedics and Sports Medicine; Rheumatology"
"16453","Osteoporosis International",3.35,41,"0.76","0.37","1.58","0.462",41,"0.76","0.37","1.58","0.355",8,8,6,16,13,"Endocrinology, Diabetes, and Metabolism"
"14311","Otolaryngology - Head and Neck Surgery",1.89,10,"1.95","0.50","7.61","0.337",10,"1.95","0.50","7.61","0.215",1,0,17,15,18,"Otorhinolaryngology; Surgery"
"14314","Otology and Neurotology",1.86,3,"2.55","0.22","29.89","0.456",3,"2.55","0.22","29.89","0.508",0,0,3,0,0,"Clinical Neurology; Otorhinolaryngology"
"20516","PACE - Pacing and Clinical Electrophysiology",1.26,29,"2.39","0.75","7.69","0.142",29,"2.39","0.75","7.69","0.072",5,11,8,7,1,"Cardiology and Cardiovascular Medicine"
"21934","Paediatric Anaesthesia",1.63,14,"2.56","0.77","8.53","0.126",14,"2.56","0.77","8.53","0.066",2,6,4,1,2,"Anesthesiology and Pain Medicine; Pediatrics, Perinatology, and Child Health"
"15634","Paediatric and Perinatal Epidemiology",2.56,34,"0.95","0.46","1.97","0.887",34,"0.95","0.46","1.97","0.711",2,4,6,5,21,"Epidemiology; Pediatrics, Perinatology, and Child Health"
"20601","Paediatric Drugs",2.45,2,"2.65","0.16","42.53","0.492",2,"2.65","0.16","42.53","1.000",0,0,1,1,1,"Pediatrics, Perinatology, and Child Health; Pharmacology (medical)"
"18578","Paediatric Respiratory Reviews",1.82,6,"0.35","0.03","3.94","0.394",6,"0.35","0.03","3.94","0.618",4,4,3,0,0,"Pediatrics, Perinatology, and Child Health; Pulmonary and Respiratory Medicine"
"18148","Pain",4.58,103,"0.85","0.54","1.35","0.500",103,"0.85","0.54","1.35","0.790",39,31,22,15,15,"Anesthesiology and Pain Medicine; Clinical Neurology"
"18500161700","Pain Medicine",2.1,20,"0.33","0.09","1.27","0.106",20,"0.33","0.09","1.27","0.120",8,14,3,3,7,"Anesthesiology and Pain Medicine; Clinical Neurology"
"145429","Pain Practice",2.1,4,"6.11","0.53","70.23","0.146",4,"6.11","0.53","70.23","1.000",0,1,2,3,0,"Anesthesiology and Pain Medicine"
"4000151904","Palliative and Supportive Care",0.86,2,"1.00","0.06","16.93","1.000",2,"1.00","0.06","16.93","1.000",0,0,0,2,0,"Psychiatry and Mental Health"
"16484","Palliative Medicine",3.29,22,"1.83","0.72","4.67","0.204",22,"1.83","0.72","4.67","0.230",6,3,4,3,8,"Anesthesiology and Pain Medicine"
"26660","Pancreas",2.63,7,"3.10","0.38","25.29","0.292",7,"3.10","0.38","25.29","0.418",2,0,2,3,3,"Endocrinology, Diabetes, and Metabolism; Hepatology; Internal Medicine"
"17500154721","Parasites and Vectors",3.23,206,"1.06","0.77","1.46","0.727",206,"1.06","0.77","1.46","0.843",51,83,66,41,19,"Infectious Diseases"
"22993","Parasitology",2.37,15,"0.39","0.09","1.68","0.203",15,"0.39","0.09","1.68","0.606",8,5,1,1,4,"Infectious Diseases"
"20340","Parasitology Research",2.2,7,"0.74","0.13","4.26","0.733",7,"0.74","0.13","4.26","0.513",2,0,4,1,1,"Infectious Diseases"
"18572","Parkinsonism and Related Disorders",3.05,4,"0.46","0.04","4.98","0.523",4,"0.46","0.04","4.98","0.328",3,2,2,0,0,"Clinical Neurology; Geriatrics and Gerontology"
"21100205998","Pathogens and Global Health",1.63,4,"0.61","0.06","6.48","0.682",4,"0.61","0.06","6.48","0.575",0,0,2,1,1,"Infectious Diseases; Public, Environmental, and Occupational Health"
"16973","Pathology",1.42,9,"0.73","0.14","3.81","0.707",9,"0.73","0.14","3.81","0.689",1,2,1,4,3,"Pathology and Forensic Medicine"
"22460","Patient Education and Counseling",2.82,19,"0.70","0.27","1.84","0.473",19,"0.70","0.27","1.84","0.528",7,7,8,14,9,"Medicine (all)"
"19700182810","Patient Safety in Surgery",0.94,5,"1.61","0.11","23.21","0.725",5,"1.61","0.11","23.21","0.999",1,0,2,1,1,"Anesthesiology and Pain Medicine; Orthopedics and Sports Medicine; Surgery"
"15701","Pediatric Allergy and Immunology",2.65,9,"0.51","0.10","2.55","0.412",9,"0.51","0.10","2.55","0.278",2,3,2,4,1,"Immunology and Allergy; Pediatrics, Perinatology, and Child Health"
"12647","Pediatric Blood and Cancer",2.26,52,"0.58","0.30","1.13","0.111",52,"0.58","0.30","1.13","0.075",4,13,15,13,15,"Hematology; Oncology; Pediatrics, Perinatology, and Child Health"
"20526","Pediatric Cardiology",1.58,5,"1.15","0.11","12.21","0.910",5,"1.15","0.11","12.21","0.486",1,2,2,0,1,"Cardiology and Cardiovascular Medicine; Pediatrics, Perinatology, and Child Health"
"130036","Pediatric Critical Care Medicine",1.91,112,"1.05","0.66","1.69","0.834",112,"1.05","0.66","1.69","0.998",37,25,45,56,27,"Critical Care and Intensive Care Medicine; Pediatrics, Perinatology, and Child Health"
"24898","Pediatric Dermatology",1.11,7,"0.95","0.13","6.67","0.956",7,"0.95","0.13","6.67","0.716",2,1,1,2,3,"Dermatology; Pediatrics, Perinatology, and Child Health"
"15724","Pediatric Exercise Science",1.69,5,"0.41","0.04","3.80","0.433",5,"0.41","0.04","3.80","0.850",0,2,1,1,1,"Orthopedics and Sports Medicine; Pediatrics, Perinatology, and Child Health"
"15739","Pediatric Infectious Disease Journal",2.09,24,"1.31","0.51","3.35","0.573",24,"1.31","0.51","3.35","0.686",8,11,2,9,2,"Infectious Diseases; Microbiology (medical); Pediatrics, Perinatology, and Child Health"
"20471","Pediatric Nephrology",2.09,38,"1.09","0.48","2.46","0.840",38,"1.09","0.48","2.46","0.956",10,11,9,11,8,"Nephrology; Pediatrics, Perinatology, and Child Health"
"15741","Pediatric Neurology",1.76,4,"0.27","0.03","2.73","0.265",4,"0.27","0.03","2.73","0.452",3,2,1,0,0,"Clinical Neurology; Pediatrics, Perinatology, and Child Health"
"15747","Pediatric Pulmonology",2.13,8,"0.44","0.05","4.02","0.468",8,"0.44","0.05","4.02","0.445",1,0,2,5,0,"Pediatrics, Perinatology, and Child Health; Pulmonary and Respiratory Medicine"
"15753","Pediatric Radiology",1.42,27,"0.61","0.22","1.70","0.342",27,"0.61","0.22","1.70","0.370",6,9,9,4,13,"Pediatrics, Perinatology, and Child Health; Radiology Nuclear Medicine and Imaging"
"15754","Pediatric Research",2.88,11,"1.78","0.51","6.14","0.363",11,"1.78","0.51","6.14","0.751",9,1,0,2,3,"Pediatrics, Perinatology, and Child Health"
"11700154623","Pediatric Rheumatology",1.29,6,"0.18","0.02","1.67","0.130",6,"0.18","0.02","1.67","0.082",4,0,1,1,0,"Immunology and Allergy; Pediatrics, Perinatology, and Child Health; Rheumatology"
"15755","Pediatric Transplantation",1.21,24,"0.63","0.20","1.94","0.417",24,"0.63","0.20","1.94","0.200",4,6,2,7,10,"Pediatrics, Perinatology, and Child Health; Transplantation"
"15756","Pediatrics",5.16,168,"0.64","0.45","0.90","0.010",168,"0.64","0.45","0.90","0.133",23,25,31,65,77,"Pediatrics, Perinatology, and Child Health"
"12600154735","Pediatrics and Neonatology",1.09,8,"2.01","0.35","11.47","0.434",8,"2.01","0.35","11.47","0.519",3,4,2,2,0,"Pediatrics, Perinatology, and Child Health"
"17009","Peritoneal Dialysis International",1.05,14,"0.53","0.13","2.08","0.360",14,"0.53","0.13","2.08","0.350",3,8,3,1,2,"Nephrology"
"16400154776","Personality and Mental Health",1.19,9,"0.63","0.12","3.25","0.586",9,"0.63","0.12","3.25","0.694",0,1,3,2,4,"Health Policy; Psychiatry and Mental Health"
"19700182728","Personality Disorders: Theory, Research, and Treatment",2.73,34,"0.59","0.23","1.49","0.261",34,"0.59","0.23","1.49","0.759",18,8,14,0,0,"Psychiatry and Mental Health"
"17025","Pflugers Archiv European Journal of Physiology",2.96,10,"0.87","0.19","3.87","0.851",10,"0.87","0.19","3.87","0.163",2,3,4,1,1,"Physiology (medical)"
"21123","Pharmaceutical Research",3.49,5,"0.82","0.09","7.49","0.857",5,"0.82","0.09","7.49","0.996",4,0,0,0,2,"Pharmacology (medical)"
"21165","PharmacoEconomics",2.84,16,"0.47","0.14","1.64","0.239",16,"0.47","0.14","1.64","0.204",9,6,2,0,2,"Health Policy; Public, Environmental, and Occupational Health"
"21166","Pharmacoepidemiology and Drug Safety",2.44,20,"0.50","0.16","1.58","0.236",20,"0.50","0.16","1.58","0.171",7,5,3,6,5,"Epidemiology; Pharmacology (medical)"
"18594","Pharmacopsychiatry",1.5,4,"0.53","0.04","6.79","0.626",4,"0.53","0.04","6.79","0.925",0,0,0,2,3,"Pharmacology (medical); Psychiatry and Mental Health"
"21200","Pharmacotherapy",2.86,7,"0.21","0.02","2.26","0.200",7,"0.21","0.02","2.26","0.820",2,1,0,2,2,"Pharmacology (medical)"
"21100239265","PharmaNutrition",1.9,2,"1.08","0.05","21.26","0.960",2,"1.08","0.05","21.26","1.000",2,1,0,0,0,"Pharmacology (medical)"
"21100203112","Philosophy, Psychiatry and Psychology",0.26,28,"0.78","0.32","1.95","0.601",28,"0.78","0.32","1.95","0.818",14,15,8,5,8,"Psychiatry and Mental Health"
"20531","Phlebology",1.43,10,"0.39","0.04","3.34","0.388",10,"0.39","0.04","3.34","0.297",0,2,2,5,3,"Cardiology and Cardiovascular Medicine"
"17037","Physica Medica",2.03,5,"2.02","0.32","12.84","0.454",5,"2.02","0.32","12.84","0.877",0,2,2,1,0,"Radiology Nuclear Medicine and Imaging"
"15770","Physical and Occupational Therapy in Pediatrics",1,4,"0.93","0.08","11.39","0.953",4,"0.93","0.08","11.39","0.362",2,3,1,0,0,"Pediatrics, Perinatology, and Child Health; Rehabilitation"
"21100454943","Physiological Reports",0.69,4,"2.71","0.37","19.75","0.326",4,"2.71","0.37","19.75","0.439",0,1,1,1,1,"Physiology (medical)"
"22170","Plastic and Reconstructive Surgery",1.97,41,"0.43","0.13","1.48","0.180",41,"0.43","0.13","1.48","0.218",12,4,14,18,15,"Surgery"
"13047","Platelets",1.66,4,"0.70","0.05","9.68","0.794",4,"0.70","0.05","9.68","0.668",0,0,2,1,1,"Hematology"
"4000151808","PLoS Genetics",5.93,44,"0.66","0.29","1.49","0.314",44,"0.66","0.29","1.49","0.283",10,13,14,8,5,"Genetics (clinical)"
"144840","PLoS Medicine",8.73,84,"0.47","0.28","0.79","0.005",84,"0.47","0.28","0.79","0.022",24,15,10,21,29,"Medicine (all)"
"11900154404","PLoS Neglected Tropical Diseases",3.97,14,"0.54","0.17","1.79","0.316",14,"0.54","0.17","1.79","0.518",3,4,6,2,0,"Infectious Diseases; Public, Environmental, and Occupational Health"
"15800154701","PM and R",1.33,4,"0.22","0.02","2.93","0.254",4,"0.22","0.02","2.93","0.998",2,0,2,0,1,"Clinical Neurology; Rehabilitation"
"21541","Policing",0.8,2,"6.00","0.36","98.73","0.210",2,"6.00","0.36","98.73","0.999",0,0,0,1,1,"Pathology and Forensic Medicine"
"21100208044","Policy and Internet",2.47,4,"4.71","0.35","62.56","0.240",4,"4.71","0.35","62.56","1.000",1,5,0,0,0,"Health Policy"
"22494","Population Health Metrics",3.09,5,"0.27","0.02","3.23","0.300",5,"0.27","0.02","3.23","0.996",3,1,0,1,2,"Epidemiology; Public, Environmental, and Occupational Health"
"17112","Postgraduate Medical Journal",1.39,5,"0.98","0.14","6.67","0.980",5,"0.98","0.14","6.67","0.962",1,1,3,1,5,"Medicine (all)"
"18619","Practical Neurology",0.86,8,"0.20","0.02","1.80","0.153",8,"0.20","0.02","1.80","0.535",0,1,2,3,2,"Clinical Neurology"
"19900194500","Practical Radiation Oncology",1.76,13,"1.20","0.35","4.11","0.775",13,"1.20","0.35","4.11","0.657",1,3,3,6,2,"Oncology; Radiology Nuclear Medicine and Imaging"
"28143","Prenatal Diagnosis",2.62,11,"0.96","0.27","3.49","0.956",11,"0.96","0.27","3.49","0.470",4,2,3,3,4,"Genetics (clinical); Obstetrics and Gynecology"
"4000148311","Preventing chronic disease",1.99,16,"0.61","0.19","1.91","0.394",16,"0.61","0.19","1.91","0.190",6,10,8,0,1,"Health Policy; Public, Environmental, and Occupational Health"
"23019","Prevention Science",2.71,14,"0.70","0.22","2.22","0.546",14,"0.70","0.22","2.22","0.883",3,1,5,1,5,"Public, Environmental, and Occupational Health"
"17665","Preventive Medicine",3.34,7,"0.27","0.05","1.58","0.146",7,"0.27","0.05","1.58","0.526",7,0,0,0,0,"Epidemiology; Public, Environmental, and Occupational Health"
"17100154713","Prion",2.04,2,"2.19","0.12","39.75","0.596",2,"2.19","0.12","39.75","0.999",0,1,1,0,0,"Infectious Diseases"
"21121","Proceedings of the National Academy of Sciences of the United States of America",8.56,34,"0.78","0.31","1.95","0.598",34,"0.78","0.31","1.95","0.725",1,17,19,0,0,"General"
"13348","Proceedings of the Nutrition Society",3.99,4,"1.34","0.16","11.04","0.786",4,"1.34","0.16","11.04","0.732",1,0,1,2,0,"Medicine (miscellaneous)"
"20552","Progress in Cardiovascular Diseases",5.96,12,"0.32","0.04","2.58","0.286",12,"0.32","0.04","2.58","0.358",3,2,2,2,4,"Cardiology and Cardiovascular Medicine"
"18687","Psychiatric Clinics of North America",2.29,4,"2.41","0.19","29.74","0.494",4,"2.41","0.19","29.74","0.438",0,0,5,0,0,"Psychiatry and Mental Health"
"18701","Psychiatric Rehabilitation Journal",1.92,9,"4.01","0.76","21.05","0.100",9,"4.01","0.76","21.05","0.289",1,2,4,2,2,"Psychiatry and Mental Health; Rehabilitation"
"110175","Psychiatric Services",2.15,6,"1.13","0.22","5.75","0.883",6,"1.13","0.22","5.75","0.926",1,3,0,0,2,"Psychiatry and Mental Health"
"18710","Psychiatry",1.47,6,"0.28","0.03","2.75","0.278",6,"0.28","0.03","2.75","0.527",2,4,0,0,0,"Psychiatry and Mental Health"
"13069","Psycho-Oncology",3.2,6,"0.37","0.07","2.08","0.260",6,"0.37","0.07","2.08","0.375",1,1,2,0,2,"Oncology; Psychiatry and Mental Health"
"13442","Psychological Assessment",3.06,9,"1.72","0.44","6.73","0.435",9,"1.72","0.44","6.73","0.525",3,0,0,2,4,"Psychiatry and Mental Health"
"18742","Psychological Medicine",4.99,21,"0.48","0.16","1.39","0.176",21,"0.48","0.16","1.39","0.240",2,5,5,7,3,"Psychiatry and Mental Health"
"29802","Psychology and Aging",3.15,6,"1.33","0.27","6.69","0.727",6,"1.33","0.27","6.69","0.779",0,2,0,4,0,"Geriatrics and Gerontology"
"14012","Psychology and Health",2.33,8,"0.36","0.07","1.89","0.227",8,"0.36","0.07","1.89","0.169",0,0,7,2,2,"Public, Environmental, and Occupational Health"
"25372","Psychology of Addictive Behaviors",3,6,"1.80","0.31","10.62","0.515",6,"1.80","0.31","10.62","0.561",3,1,0,1,1,"Medicine (miscellaneous); Psychiatry and Mental Health"
"18745","Psychoneuroendocrinology",5.15,5,"0.60","0.07","5.54","0.656",5,"0.60","0.07","5.54","0.808",8,0,0,0,0,"Endocrinology, Diabetes, and Metabolism; Psychiatry and Mental Health"
"18747","Psychophysiology",2.87,25,"1.28","0.55","2.98","0.570",25,"1.28","0.55","2.98","0.323",0,10,0,23,1,"Physiology (medical)"
"21100198231","Psychosis",1.17,2,"1.41","0.02","94.93","0.872",2,"1.41","0.02","94.93","0.846",0,0,0,0,2,"Psychiatry and Mental Health"
"19172","Psychosomatic Medicine",3.56,23,"0.83","0.32","2.15","0.702",23,"0.83","0.32","2.15","0.502",4,4,3,7,5,"Psychiatry and Mental Health"
"14077","Psychotherapy",2.2,16,"0.67","0.22","2.10","0.495",16,"0.67","0.22","2.10","0.742",2,10,5,1,3,"Psychiatry and Mental Health"
"19181","Psychotherapy and Psychosomatics",4.14,5,"0.59","0.06","5.35","0.637",5,"0.59","0.06","5.35","0.360",2,3,1,4,1,"Psychiatry and Mental Health"
